state,date,value
Sarawak,2007-01-01,940
Sarawak,2008-01-01,956
Sarawak,2009-01-01,1015
Sarawak,2010-01-01,1090
Sarawak,2011-01-01,1083
Sarawak,2012-01-01,1107
Sarawak,2013-01-01,1165
Sarawak,2014-01-01,1188
Sarawak,2015-01-01,1268
Sarawak,2016-01-01,1447
Sarawak,2017-01-01,1494
Sarawak,2018-01-01,1625
Sarawak,2019-01-01,1646
Sarawak,2020-01-01,1693
Sarawak,2021-01-01,1767
Sarawak,2022-01-01,1881
Selangor,2000-01-01,3425
Selangor,2001-01-01,3130
Selangor,2002-01-01,3345
Selangor,2003-01-01,3538
Selangor,2004-01-01,3709
Selangor,2005-01-01,3728
Selangor,2006-01-01,3776
Selangor,2007-01-01,3814
Selangor,2008-01-01,3889
Selangor,2009-01-01,3926
Selangor,2010-01-01,4063
Selangor,2011-01-01,4143
Selangor,2012-01-01,4323
Selangor,2013-01-01,4563
Selangor,2014-01-01,4594
Selangor,2015-01-01,4675
Selangor,2016-01-01,4807
Selangor,2017-01-01,4842
Selangor,2018-01-01,4856
Selangor,2019-01-01,4932
Selangor,2020-01-01,4967
Selangor,2021-01-01,4985
Selangor,2022-01-01,5116
Terengganu,2000-01-01,334
Terengganu,2001-01-01,349
Terengganu,2002-01-01,369
Terengganu,2003-01-01,387
Terengganu,2004-01-01,399
Terengganu,2005-01-01,424
Terengganu,2006-01-01,465
Terengganu,2007-01-01,525
Terengganu,2008-01-01,547
Terengganu,2009-01-01,567
Terengganu,2010-01-01,612
Terengganu,2011-01-01,599
Terengganu,2012-01-01,623
Terengganu,2013-01-01,617
Terengganu,2014-01-01,598
Terengganu,2015-01-01,603
Terengganu,2016-01-01,640
Terengganu,2017-01-01,641
Terengganu,2018-01-01,627
Terengganu,2019-01-01,632
Terengganu,2020-01-01,657
Terengganu,2021-01-01,656
Terengganu,2022-01-01,720
W.P. Labuan,2000-01-01,30
W.P. Labuan,2001-01-01,34
W.P. Labuan,2002-01-01,34
W.P. Labuan,2003-01-01,34
W.P. Labuan,2004-01-01,35
W.P. Labuan,2005-01-01,37
W.P. Labuan,2006-01-01,35
W.P. Labuan,2007-01-01,46
W.P. Labuan,2008-01-01,47
W.P. Labuan,2009-01-01,48
W.P. Labuan,2010-01-01,49
W.P. Labuan,2011-01-01,54
W.P. Labuan,2012-01-01,59
W.P. Labuan,2013-01-01,64
W.P. Labuan,2014-01-01,69
W.P. Labuan,2015-01-01,73
W.P. Labuan,2016-01-01,72
W.P. Labuan,2017-01-01,71
W.P. Labuan,2018-01-01,74
W.P. Labuan,2019-01-01,76
W.P. Labuan,2020-01-01,82
W.P. Labuan,2021-01-01,84
W.P. Labuan,2022-01-01,83
